userId,complete,time,group,path,gender,age,origin,ethnicity,occupation,education,economic,likert.audio_quality,likert.video_resolution,likert.video_smoothness,likert.audio_stability,likert.sync,likert-text,exp-text,data.car_ownership,data.video_stream,data.netflix_price,data.siriusxm_price,data.amc_movie_price, AS, MS, VR, AQ, AVS,qv_text,videoConfig.AQ,videoConfig.VR,videoConfig.AS,videoConfig.MS,videoConfig.AVS,reasonArray.MS,reasonArray.AQ,reasonArray.VR,reasonArray.AS,reasonArray.AVS,priceArray.AQ,priceArray.VR,priceArray.AS,priceArray.MS,priceArray.AVS
5f819a30b9ef559055a0fedb,TRUE,2020-10-10T11:48:55.672Z,gp11,p1,(a) Male,(c) 40-54,(b) No,(e) White,(q) Other (Please specify in next question),(c) Some college or associate's degree,"(c) $25,000 to $49,999",5,3,3,4,3,"If you can't understand the audio, then you can't get any information from the video. Even if the audio quality is not great, you need to be able to hear it well enough to pull information from it.","The original video was impossible to watch. Even moving Audio Quality up one notch helped a lot. Likewise for Video Quality, as you can actually read on-screen text when necessary.",(a) Yes,(c) Youtube,(b) $12.99/month: Stream with high definition on two devices,"(a) $10.99/month: A sampling of music, news, and talk channels","(a) $13.69, standard definition",3,3,4,8,1,"If you can't hear what's being said in the video, then all else fails. I can get by with a blurry picture if I can understand what's beings said.",1,2,1,1,0,"Not massively important, but still will need more bandwidth than audio stability.","This is going to use a lot of bandwidth, but not nearly as much as Vid Res.","This is going to eat up the most bandwidth, so it requires the highest amount.","Like audio quality, if you can't understand, it's pointless. The audio needs to be at least decently stable","For such a streaming service, this is not huge in terms of importance.",1,3,0.35,0.7,0
5f78f70b2332c99521a8b810,TRUE,2020-10-03T23:03:55.031Z,gp11,p2,(b) Female,(c) 40-54,(b) No,(e) White,(q) Other (Please specify in next question),(c) Some college or associate's degree,"(b) $10,000 to $24,999",5,5,4,3,3,"The video needs to have crisp audio in order to understand what the weatherman was reporting, otherwise it is impossible to tell what the weather would be. Sharp resolution is of utmost important as well in order to grasp the content of the report. The other factors are not as important in actually being able to understand the forecast, they are just merely an annoyance in lesser quality. 
",Adjusting the audio quality made a big difference in increasing the audio quality.  The video was blurry with illegible writing until the video resolution was increased. The adjustment made the picture crisp and legible. ,(b) No,(c) Youtube,(a) $8.99/month: Stream with the standard definition on one device,"(a) $10.99/month: A sampling of music, news, and talk channels","(c) $19.69, iMAX version",3,3,6,6,3,I gave the majority of my votes to audio quality and video resolution because I found that these 2 factors played the heaviest roll in enjoying the video. ,1,2,1,1,0,The motion smoothness is worth a small percentage of the overall cost. ,"This component is worth the cost, it brings the benefit of clarity to the video. ","This component is worth the cost. It's a quality that can not be sacrificed and still have a worthwhile product, ",The audio quality is a minor adjustment ,"I feel the audio video video synchronization actually detracted from the quality, making the forecast harder to understand. ",4,4,1,1,0
5f819e26b9ef559055a0fee3,TRUE,2020-10-10T12:22:35.488Z,gp14,p2,(a) Male,(d) 55 or above,(b) No,(b) Asian,"(l) Service (e.g., retail clerks, server)",(b) High school graduate (includes equivalency),"(b) $10,000 to $24,999",5,3,3,5,3,I think the sound is very important in a weather forecast video because the person gives more information while he speaks than what it shows on the screen.,I realized the audio quality is very important to watch video. I also think the audio stability is much important.,(a) Yes,(a) Netflix,(b) $12.99/month: Stream with high definition on two devices,"(b) $16.99/month: Get ad-free music, plus sports, news, talk, entertainment, SiriusXM video, and more, anywhere you want","(a) $13.69, standard definition",6,3,3,6,3,"To me, the sounds are much more important than visuals in a weather forecast video.",1,2,1,0,0,The visual is not as much important as the sound in the video.,The sound is important.,The visual is not as much important as the sound in the video.,The sound is important.,It is not as important.,2,0.5,2,0.5,0
5f78ac66108ffa4e7e701057,TRUE,2020-10-03T17:34:48.174Z,gp16,p2,(b) Female,(d) 55 or above,(b) No,(e) White,"(a) Administrative support (e.g., secretary, assistant)",(d) Bachelor's degree or above,"(c) $25,000 to $49,999",5,5,3,5,3,"Most of the information in a weather broadcast is being conveyed by words. The visuals, like the map, can stutter a little bit and you can still see enough to understand what you're seeing, as long as the picture is clear. As long as you can hear what is being said, and can see what is on the map, it's possible to understand what you are being told. It's annoying when the visuals are jerky and not in sync with the sound, but it doesn't make the video unintelligible. ","With the audio quality on the ""as is"" setting, I only understood one single word: ""Milwaukee."" Unless it's cranked up to a two, it's impossible to catch every word, and then only if you also raise the Audio stability setting to at least a 2. The video was similar. I can't see myself paying for this service unless the quality level is always at least a three on all of these dimensions.",(a) Yes,(d) Hulu,(b) $12.99/month: Stream with high definition on two devices,"(b) $16.99/month: Get ad-free music, plus sports, news, talk, entertainment, SiriusXM video, and more, anywhere you want","(c) $19.69, iMAX version",6,1,5,6,1,"The audio is most important, and it can only be understood if both the quality and stability are good. The video resolution is next crucial. But the motion smoothness and sycncronization need to not be absolutely terrible, too. ",1,2,1,1,0,"It's less important to getting the information you need than the other things I chose to improve, so I don't think it's worth as much.",It's the most important element.,"This is crucial, too",This is also absolutely necessary to understand what is being said.,"I left this at the base level, which is so bad, I don't think anyone would pay anything for it.",1.59,1.09,1.51,0.81,0
5f80aa38b9ef559055a0fe3f,TRUE,2020-10-09T18:56:43.191Z,gp3,p2,(b) Female,(a) 18-24,(b) No,(e) White,(n) Student,(c) Some college or associate's degree,"(e) $75,000 to $99,999",5,3,3,4,2,"Audio is the most important element here because the meteorologist's interpretation of the data is what really matters, so making sure we can hear what he's saying is most important. Most people will be able to hear him list the temperature and weather of various cities and get a grasp of what that means for them in their location without actually looking at it on a map, but a lot of people wouldn't be able to look at his map and interpret what the various colors and borders mean without being able to hear the meteorologist's explanation. ","Changing the Audio Quality and Audio Stability had the biggest impact on my video-watching experience. He explained what he was talking about well enough that visuals were not as important, so being able to hear clearly and smoothly helped me get the biggest grasp on what was going on the video. Even just slightly adjusting the audio to Level 1 so that I could understand what he saying had a big impact on my investment in the video. ",(a) Yes,(a) Netflix,(a) $8.99/month: Stream with the standard definition on one device,(d) I would not subscribe to any of the plans above,"(a) $13.69, standard definition",6,2,3,7,1,"Audio quality is the most important thing because it helps my understanding the most, with Audio Stability being a close second. Video Resolution and Motion Smoothness both had an impact on my video-watching experience, but it was a much smaller impact than the audio effects had. I don't think audio-video synchronization had much of an impact at all, especially if the other elements weren't there, but I gave it one upvote because I had extra credits and I can see how it could have a small impact. ",1,2,1,0,0,Motion Smoothness did not create a big enough impact on my understanding of the video to be worth paying for. ,"Audio quality was the biggest contributor to my understanding of the video, but because the video was still relatively hard to understand without Audio Stability, I don't want to price it too high because they'll need to be purchased together. ","Being able to see the numbers and cities on the map as the meteorologist spoke could have a slight contribution towards someone's understanding of the video, but only after Audio Quality and Audio Stability had already been paid for. ","Audio Stability increased my understanding of the video only after it was paired with Audio Quality, so I gave it an average price because it's useful but not on it's own. ","As I watched the video, I found no change in my understanding of the video when I increased the Audio-Video Synchronization. ",2.5,1,2,0,0
5f80b1aeabeee9b4a2f813b9,TRUE,2020-10-09T19:37:15.266Z,gp3,p2,(a) Male,(a) 18-24,(b) No,(e) White,"(b) Art, writing, or journalism (e.g., author, reporter, sculptor)",(c) Some college or associate's degree,"(e) $75,000 to $99,999",5,5,3,5,4,"I think that the audio quality was the most important in being able the understand the content of the weather forecast. With audio quality set at the initial level of ""0"" the audio was completely impossible to understand. This is the most vital part of the forecast as most of the information is conveyed audibly as opposed to visually. Another element that is very crucial is the audio stability, as when the audio is very choppy and low quality, it makes it hard to follow along with the core message of the forecast. The third most vital element is the video resolution, as there is a map on this forecast that displayed important information. With the video resolution too low, viewers will be unable to identify areas and labels of the maps. In some cases, it may be vital that the viewer can see the map easily as certain areas may be gestured to or highlighted visually. ","Changing the audio resolution had one the biggest impacts on my video-watching experience. With the audio resolution set at Lv. 0 or ""As is"",  the audio was virtually illegible, and it was very difficult for me to discern what broadcaster was saying. When I switched the audio resolution to Lv. 1, the audio improved significantly, and, although the quality was still relatively poor, I was now able to make out what the meteorologist was saying. Switching to Lv. 2, and Lv. 3, made moderate improvements in the quality and clarity of the sound, however, was not as impactful as the difference between lv. 0 and lv. 1. Another impactful element was the video resolution. When turned to Lv. 0, the video appeared to just be a mosaic of various colors. I was able to make out that there was a man, and some sort of map, however was unable to read the words or identify any parts of the map. When turned to Lv. 1, the video quality improved however, I was still unable to make out the map clearly. Lv. 2 also made slight improvements, but it wasn't until I turned to Lv. 3 that I was able to make out some of the words on the screen. ",(a) Yes,(d) Hulu,(a) $8.99/month: Stream with the standard definition on one device,"(a) $10.99/month: A sampling of music, news, and talk channels","(c) $19.69, iMAX version",4,1,5,7,3,I allocated my votes in this way because I believe that the audio quality in this scenario is the most vital component to understanding this weather forecast. I allocated the second most votes to video resolution as it was almost as equally vital. I then allocated the remainder of my votes to the rest of the elements in terms of importance.,1,2,0,1,2,"I chose $0 for this option as I believe it is not important enough to the buyer to risk overpricing the product, and losing the sale.","I priced the audio quality at $4 as it is the most vital component in understanding the content of the video, and that is the most important aspect for the buyer.",I priced the video resolution at $4 because I believe the buyer will be willing to spend this money as it is very valuable to understanding the forecast.,I also set the audio stability at $4 because I believe that this element is important enough in understanding the video for the buyer to be willing to pay this ammount.,I also chose $0 for this option because I do not believe it is important enough for the buyer to be willing to pay extra for.,4,4,4,0,0
5f78dea5108ffa4e7e70120a,TRUE,2020-10-03T20:55:46.428Z,gp6,p1,(a) Male,(b) 25-39,(b) No,(e) White,"(a) Administrative support (e.g., secretary, assistant)",(b) High school graduate (includes equivalency),"(c) $25,000 to $49,999",5,4,1,5,2,"It was almost impossible to hear and understand the video with the as-is audio quality. The stability was also very important, because with severe choppiness you couldn't understand really what was being said. You could still see enough with the video quality to ascertain the forecast, smoothness and resolution really didn't come THAT much into play, I could still see the forecast being presented.","Audio Quality - Practically unintelligible as is, needed to be at least Lv. 1 to be able to articulate the words. That is very important. After Lv. 1, it was mostly preference, though not critical. Audio Stability - As is was extremely irritating, as the cutting in and out was heavily distracting from anything else. Lv. 1 was still quite irritating. In my opinion, Lv. 2 was the baseline for a good bandwidth/quality tradeoff. ",(a) Yes,(a) Netflix,(c) $15.99/month: Stream with 4K ultra HD on four devices,"(b) $16.99/month: Get ad-free music, plus sports, news, talk, entertainment, SiriusXM video, and more, anywhere you want","(c) $19.69, iMAX version",6,2,4,5,4,"Audio is the most important aspect of streaming media. The reason being is that your eyes aren't always glued to the video, for instance whilst driving and hearing sound comfortably is important. For this reason, I voted on audio quality and stability. Resolution and audio/video sync would be next, with smoothness being the least important. I am thinking in terms of practicality, where the video's are likely to be streamed and what would be the most important aspects and cause the least irritation.",1,2,1,0,0,Not important to gaining information from the forecast successfully.,Most important to clearly understanding the forecast.,Mostly important to seeing and comprehending the forecast being presented. ,Very important to be able to understand the forecast without information cutting out due to instability.,Not necessary to understand and comprehend the forecast being presented.,4,2,3,0,0
5f78c8ca108ffa4e7e7011c2,TRUE,2020-10-03T19:27:52.134Z,gp7,p1,(a) Male,(b) 25-39,(b) No,(f) Prefer not to disclose,"(l) Service (e.g., retail clerks, server)",(c) Some college or associate's degree,"(d) $50,000 to $74,999",5,5,4,4,2,the first two are vital to juse understand the video. audio stuttering is annoying and can make things confusing but generally i think i would still be able to understand unless it was an absurd amount./ the motion smoothness does not have to be great but not horrid/ the syncronization is not very important to me as if video and audio are clear and just a bit out of synch would not be an issue to me,the audio quality was important as it was impossible to understand anything with out increasing that.  the second one would be the video resoulation  as it was very choppy to begin with. the others just make the two above flow better but with just these two options i can see and understand the vdeo well ,(a) Yes,(c) Youtube,(b) $12.99/month: Stream with high definition on two devices,"(b) $16.99/month: Get ad-free music, plus sports, news, talk, entertainment, SiriusXM video, and more, anywhere you want","(a) $13.69, standard definition",2,3,6,7,-1,audio quailty and video resoultion is basically the only things needed to make the video understandble visually and auidoablly the others seem to just enhance these two features,1,2,1,1,0,my video is not very smooth so i would not charge,it is among the two most vital elements,i think this is equal to audio quailty,this is important but comes second to quailty in terms of audio,the synchronzation is not great so i feel i should not charge,2,2,1,0,0
5f78e0242332c99521a8b7e5,TRUE,2020-10-03T20:51:10.140Z,gp7,p2,(b) Female,(b) 25-39,(b) No,(e) White,"(b) Art, writing, or journalism (e.g., author, reporter, sculptor)",(c) Some college or associate's degree,"(b) $10,000 to $24,999",5,3,2,4,4,"In order to understand the context of a situation on video, it's often critical to hear the words that are actually being said. That requires both constant audio stability and great audio quality. Your motion smoothness and video resolution can suffer a little bit, but your customers will get frustrated fast if they are left in the dust by being unable to follow verbal conversations",The Audio Quality one made it so that I could or couldn't understand what was being said. The motion smoothness made it hard to see how he was moving,(b) No,(c) Youtube,(b) $12.99/month: Stream with high definition on two devices,"(a) $10.99/month: A sampling of music, news, and talk channels","(a) $13.69, standard definition",5,3,1,8,1,Same as the reasoning from before; clear audio is more important than clear video,1,2,1,0,0,n/a,It's the basic requirement needed,It's an addon to see as good as you can hear,It's as necessary as video resolution,n/a,0.99,0.49,0.49,0,0
5f78a5b9d1d415c7845f6b44,TRUE,2020-10-03T16:49:51.002Z,gp8,p2,(a) Male,(b) 25-39,(b) No,(e) White,"(d) Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",(d) Bachelor's degree or above,"(d) $50,000 to $74,999",5,5,4,4,2,"As I stated before, without quality audio and sufficient video resolution what is happening is next to impossible to understand, other than those being the priority, audio stability and video motion smoothness are next most important, then audio video synch is last. I can make due with bad synching but the others make the experience very poor if they aren't of a good quality.",With audio smoothness and video resolution these are the most influential for me to understand what is happening in the video. If both are of poor quality I can't understand what is happening at all. If they are of at least a medium quality I can make out what is on screen and understand the information being presented.,(a) Yes,(a) Netflix,(c) $15.99/month: Stream with 4K ultra HD on four devices,"(a) $10.99/month: A sampling of music, news, and talk channels","(c) $19.69, iMAX version",4,3,6,6,1,"I gave much more weight to the elements I feel are most crucial to a good viewing experience, the primary of those being audio and video resolution.",1,2,1,1,0,The smoothing of motion stops some of the sporadic jumping on screen.,The improved audio quality makes the listening experience better.,The improved video resolution makes it easier to see details in the image.,Audio stability quality improvement reduces the studders in the audio playback,There was no noticeable improvement in this feature.,1.5,1.5,1,1,0
